sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
193,Advait Capital Private Limited,Hyderabad,No,ICC,U65990TG2017PTC121443,Base
194,Advaita Finance Solution Private Limited,Ahmedabad,No,ICC,U67190GJ2016PTC092426,Base
195,Advance Business Services Ltd,Kolkata,No,ICC,U74140WB1983PTC036275,Base
196,Advance Finstock Private Ltd.,Ahmedabad,No,ICC,U65990GJ1998PTC034733,Base
197,Advanced Fiscal Services Pvt.Ltd.,Mumbai,No,ICC,U65999MH1995PTC240160,Base
198,Advanced Leasing & Finance Pvt. Ltd.,Mumbai,No,ICC,U65990MH1990PTC056493,Base
199,Advantage Equi Fund (P) Ltd,Kolkata,No,ICC,U74140MP1994PTC055019,Base
200,Advent Finserv Private Limited (Formerly: Nannu Holdings Ltd.),Shimla,No,ICC,U45202HP1989PTC009809,Base
201,Advent Fiscal Private Limited,Mumbai,No,ICC,U67190MH1995PTC095494,Base
202,Adventz Finance Private Limited,Kolkata,No,ICC,U65993WB1996PTC079012,Middle
203,Adventz Securities Enterprises Limited (Formerly Poddar Heritage Corp Ltd),Kolkata,No,ICC,L36993WB1995PLC069510,Middle
204,Advik Capital Ltd,New Delhi,No,ICC,L65100DL1985PLC022505,Base
205,Advin Fiscal Services (P) Ltd,Kolkata,No,ICC,U74120WB1994PTC061528,Base
206,Adwita Finvest Private Limited,Kolkata,No,ICC,U08012WB1996PTC134064,Base
207,Aeon Credit Service India Private Limited,Mumbai,No,ICC,U66000MH2011FTC214516,Base
208,Aereo Dealcom Private Limited,Bhopal,No,ICC,U51109MP1994PTC044483,Base
209,Aero Securities Private Limited (Formerly: Aero Art Emporium Private Limited),New Delhi,No,Type-I,U65100HR2008PTC038092,Base
210,Aeroflex Finance Private Limited,Mumbai,No,ICC,U65929MH2016PTC282853,Base
211,Affirmative Financial Services Private Limited,Mumbai,No,ICC,U65999MH2017PTC289697,Base
212,Affluent Securities (P) Ltd,Kolkata,No,ICC,U67120WB1996PTC081294,Base
213,Afsons (India) Pvt. Ltd.,Kolkata,No,ICC,U67120WB1985PTC038849,Base
214,Afsons Investors Pvt. Ltd.,Kolkata,No,ICC,U17122WB1994PTC064399,Base
215,Agaman Financial Services Limited,Kolkata,No,ICC,U34300WB1989PLC046658,Base
216,Agarni Leasing & Finance Private Limited,New Delhi,No,ICC,U65921DL1996PTC422157,Base
217,Agarsons Fincap Services Pvt. Ltd.,New Delhi,No,ICC,U65100HR1995PTC108784,Base
218,Agarwal Assignments Pvt. Ltd.,New Delhi,No,ICC,U74899DL1991PTC042566,Base
219,Agarwal Datamatics Pvt Ltd,Kolkata,No,ICC,U30009WB1991PTC051616,Base
220,Agarwal Finestate Pvt.Ltd.,New Delhi,No,ICC,U65993HR1995PTC094169,Base
221,Agarwal Fiscal Private Limited,Ahmedabad,No,ICC,U65910GJ1994PTC075347,Base
222,Agarwal Holdings Private Limited,Mumbai,No,Type-I,U64990MH2020PTC351697,Base
223,Agarwal Telecommunications Pvt. Ltd.,New Delhi,No,ICC,U51909DL1993PTC330673,Base
224,Agarwal Trexim Pvt. Ltd.,Kolkata,No,ICC,U51909WB1993PTC057391,Base
225,Agarwalla Udyog Pvt Ltd,Kolkata,No,ICC,U70200WB1961PTC024988,Base
226,Agastya Vyapaar Pvt. Ltd.,Kolkata,No,ICC,U51909WB1995PTC067123,Base
227,Agate Finance Limited,Chennai,No,ICC,U65191TZ1996PLC037431,Base
228,Agbros Fincap Pvt. Ltd.,New Delhi,No,ICC,U74899DL1993PTC055283,Base
229,Ageless Capital And Finance Private Limited,Mumbai,No,ICC,U65923MH2014PTC253948,Base
230,Agf Finlease (India) Ltd,New Delhi,No,ICC,U65910DL1996PLC075541,Base
231,Aggarwal Capfin Financial Services Pvt. Ltd.,New Delhi,No,ICC,U74899DL1995PTC068795,Base
232,"Agile Finserv Private Limited (Old Name - Mand Hire Purchase Private Limited, Jalandhar)",Chandigarh,No,ICC,U65921PB1991PTC011479,Base
